# ====== PROJECT SETUP METADATA ======
project_name,STS8300_LB_RevA
site_num,4
schema_version,1.0
default_package,0603
default_voltage,50V
default_tolerance,1%
ate_platform,STS8300_A28D4
component_overrides,"{'SOCKET_PATH': 'Sch_lib/sockets/JW_Contator.kicad_sym', 'SOCKET_NAME': 'FTD_PP_25C_DFN4X4X0.75-10', 'GLOBAL_LDO': ''}"
Hardware Config,c:\Users\11271\Desktop\Table2SCH\Sch_lib\platforms\sts8300_slot.xlsx

# ====== PIN MAPPING ======
Display Pin,Hidden F/S Mapping,Logical Net,Resource Types,Channel Allocations,Connect Type,Active Circuits,Passive Circuits (Parsed),Params
18F/S (PIN18_VRHOT),"{'F': '18F', 'S': '18S'}",PIN18_VRHOT,ACM200,Site1(ACM200[S5_CH17]) | Site2(ACM200[S11_CH17]) | Site3(ACM200[S21_CH17]) | Site4(ACM200[S27_CH17]),Direct,,[],{}
19F/S (PIN19_PIN_ALRT),"{'F': '19F', 'S': '19S'}",PIN19_PIN_ALRT,ACM200,Site1(ACM200[S5_CH18]) | Site2(ACM200[S11_CH18]) | Site3(ACM200[S21_CH18]) | Site4(ACM200[S27_CH18]),Direct,,[],{}
20F/S (PIN20_BVRRDY),"{'F': '20F', 'S': '20S'}",PIN20_BVRRDY,ACM200,Site1(ACM200[S5_CH19]) | Site2(ACM200[S11_CH19]) | Site3(ACM200[S21_CH19]) | Site4(ACM200[S27_CH19]),Direct,,[],{}
21F/S (PIN21_VCLK),"{'F': '21F', 'S': '21S'}",PIN21_VCLK,ACM200,Site1(ACM200[S5_CH20]) | Site2(ACM200[S11_CH20]) | Site3(ACM200[S21_CH20]) | Site4(ACM200[S27_CH20]),Direct,,[],{}
22F/S (PIN22_VDI0),"{'F': '22F', 'S': '22S'}",PIN22_VDI0,ACM200,Site1(ACM200[S5_CH21]) | Site2(ACM200[S11_CH21]) | Site3(ACM200[S21_CH21]) | Site4(ACM200[S27_CH21]),Direct,,[],{}
23F/S (PIN23_VALERT),"{'F': '23F', 'S': '23S'}",PIN23_VALERT,ACM200,Site1(ACM200[S5_CH22]) | Site2(ACM200[S11_CH22]) | Site3(ACM200[S21_CH22]) | Site4(ACM200[S27_CH22]),Direct,,[],{}
24F/S (PIN24_BVREN),"{'F': '24F', 'S': '24S'}",PIN24_BVREN,ACM200,Site1(ACM200[S5_CH23]) | Site2(ACM200[S11_CH23]) | Site3(ACM200[S21_CH23]) | Site4(ACM200[S27_CH23]),Direct,,[],{}
25F/S (PIN25_AVSEN),"{'F': '25F', 'S': '25S'}",PIN25_AVSEN,ACM200,Site1(ACM200[S6_CH0]) | Site2(ACM200[S12_CH0]) | Site3(ACM200[S22_CH0]) | Site4(ACM200[S28_CH0]),Direct,,[],{}
26F/S (PIN26_AVREF),"{'F': '26F', 'S': '26S'}",PIN26_AVREF,ACM200,Site1(ACM200[S6_CH1]) | Site2(ACM200[S12_CH1]) | Site3(ACM200[S22_CH1]) | Site4(ACM200[S28_CH1]),Direct,,[],{}
27F/S (PIN27_AISEN1),"{'F': '27F', 'S': '27S'}",PIN27_AISEN1,ACM200,Site1(ACM200[S6_CH2]) | Site2(ACM200[S12_CH2]) | Site3(ACM200[S22_CH2]) | Site4(ACM200[S28_CH2]),Direct,,[],{}
